,swagger,info,host,basePath,schemes,consumes,produces,paths,definitions,parameters,responses,securityDefinitions,security,tags,externalDocs,implemented fields,missing fields,label
azure.com:azsadmin-LogicalSubnet,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-MacAddressPool,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-Operations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-RegionHealth,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-ResourceHealth,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,10,5,124
azure.com:azsadmin-ScaleUnit,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-ScaleUnitNode,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-ServiceHealth,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-SlbMuxInstance,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-StoragePool,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-StorageSystem,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,124
azure.com:azsadmin-Volume,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,4
azure.com:azurestack-AzureStack,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,28
azure.com:azurestack-CustomerSubscription,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,28
azure.com:azurestack-Product,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,28
azure.com:azurestack-Registration,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,28
azure.com:batch-BatchManagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,132
azure.com:batchai-BatchAI,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:billing,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:cdn,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:cognitiveservices,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,40
azure.com:cognitiveservices-ComputerVision,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5,40
azure.com:cognitiveservices-ContentModerator,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5,40
azure.com:cognitiveservices-Face,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5,40
azure.com:cognitiveservices-LUIS-Programmatic,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5,1
azure.com:cognitiveservices-LUIS-Runtime,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5,1
azure.com:cognitiveservices-TextAnalytics,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4,40
azure.com:commerce,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,94
azure.com:compute,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:compute-containerService,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,82
azure.com:compute-disk,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:compute-runCommands,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:compute-skus,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:compute-swagger,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:consumption,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,12,3,63
azure.com:containerinstance-containerInstance,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,170
azure.com:containerregistry,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:containerservices-containerService,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,82
azure.com:containerservices-location,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,82
azure.com:containerservices-managedClusters,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,82
azure.com:cosmos-db,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:customer-insights,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:datacatalog,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,63
azure.com:datafactory,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:datalake-analytics-account,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,27
azure.com:datalake-analytics-catalog,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,120
azure.com:datalake-analytics-job,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,120
azure.com:datalake-store-account,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,27
azure.com:datalake-store-filesystem,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,27
azure.com:datamigration,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:deviceprovisioningservices-iotdps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,101
azure.com:devtestlabs-DTL,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:dns,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,78
azure.com:domainservices,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,174
azure.com:eventgrid-EventGrid,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,63
azure.com:eventhub-EventHub,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:hanaonazure,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,63
azure.com:hdinsight-applications,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,52
azure.com:hdinsight-capabilities,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,52
azure.com:hdinsight-cluster,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,52
azure.com:hdinsight-configurations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,52
azure.com:hdinsight-extensions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,52
azure.com:hdinsight-operations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,52
azure.com:hdinsight-scriptActions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,52
azure.com:intune,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,63
azure.com:iothub,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:keyvault,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,42
azure.com:keyvault-providers,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,42
azure.com:keyvault-secrets,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,42
azure.com:locationbasedservices,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:logic,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,108
azure.com:machinelearning-commitmentPlans,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,73
azure.com:machinelearning-webservices,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,73
azure.com:machinelearning-workspaces,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,9
azure.com:machinelearningcompute-machineLearningCompute,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,145
azure.com:machinelearningexperimentation-machineLearningExperimentation,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,138
azure.com:managementgroups-management,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,12,3,63
azure.com:managementpartner-ManagementPartner,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,63
azure.com:marketplaceordering-Agreements,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:mediaservices-media,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,56
azure.com:migrate,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,163
azure.com:mobileengagement-mobile-engagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,93
azure.com:monitor-actionGroups_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-activityLogAlerts_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-activityLogs_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-alertRulesIncidents_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-alertRules_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-autoscale_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-baseline_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-calculateBaseline_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-diagnosticsSettingsCategories_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-diagnosticsSettings_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-eventCategories_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-logProfiles_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-metricDefinitions_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-metrics_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-operations_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-serviceDiagnosticsSettings_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:monitor-tenantActivityLogs_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,11
azure.com:msi-ManagedIdentity,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:mysql,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:network,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-applicationGateway,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-applicationSecurityGroup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-checkDnsAvailability,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-endpointService,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-expressRouteCircuit,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-loadBalancer,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-networkInterface,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-networkSecurityGroup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-networkWatcher,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-operation,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-publicIpAddress,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-routeFilter,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-routeTable,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-serviceCommunity,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-usage,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-virtualNetwork,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-virtualNetworkGateway,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-vmssNetworkInterface,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:network-vmssPublicIpAddress,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,14
azure.com:notificationhubs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:operationalinsights-OperationalInsights,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,47
azure.com:operationsmanagement-OperationsManagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:policyinsights-policyEvents,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,10,5,32
azure.com:policyinsights-policyStates,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,10,5,32
azure.com:postgresql,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:powerbidedicated,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:powerbiembedded,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,63
azure.com:provisioningservices-iotdps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,101
azure.com:recoveryservices-backup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,92
azure.com:recoveryservices-registeredidentities,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,92
azure.com:recoveryservices-replicationusages,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,92
azure.com:recoveryservices-vaults,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,92
azure.com:recoveryservices-vaultusages,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,92
azure.com:recoveryservicesbackup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,55
azure.com:recoveryservicesbackup-backupManagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,55
azure.com:recoveryservicesbackup-bms,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,55
azure.com:recoveryservicesbackup-jobs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,55
azure.com:recoveryservicesbackup-operations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,55
azure.com:recoveryservicesbackup-registeredIdentities,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,55
azure.com:recoveryservicessiterecovery-service,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,117
azure.com:redis,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:relay,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:reservations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,175
azure.com:resourcehealth,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,10,5,63
azure.com:resources,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-features,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-links,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-locks,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-managedapplications,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-management,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,12,3,23
azure.com:resources-policy,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-policyAssignments,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,21
azure.com:resources-policyDefinitions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-policySetDefinitions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:resources-subscriptions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,23
azure.com:scheduler,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,63
azure.com:search,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,34
azure.com:search-searchindex,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,34
azure.com:search-searchservice,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6,34
azure.com:servermanagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:service-map-arm-service-map,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,117
azure.com:servicebus,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,164
azure.com:servicefabric,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,8,7,63
azure.com:sql-Databases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,50
azure.com:sql-advisors,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-backupLongTermRetentionPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-backupLongTermRetentionVaults,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-backups,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-blobAuditingPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-cancelOperations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-cancelPoolOperations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-capabilities,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-checkNameAvailability,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-connectionPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-dataMasking,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,3
azure.com:sql-dataWarehouseUserActivities,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-databaseAutomaticTuning,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-databaseSecurityAlertPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-databases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,50
azure.com:sql-deprecated,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-disasterRecoveryConfigurations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-elasticPools,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-encryptionProtectors,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-failoverGroups,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-firewallRules,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-geoBackupPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-importExport,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-managedDatabases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-metrics,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-operations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-queries,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-renameDatabase,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-replicationLinks,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-restorePoints,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-serverAutomaticTuning,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-serverAzureADAdministrators,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-serverCommunicationLinks,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-serverDnsAliases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-serverKeys,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-servers,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-serviceObjectives,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-sql.core,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-syncAgents,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-syncGroups,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-syncMembers,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-tableAuditing,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-usages,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:sql-virtualNetworkRules,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5,115
azure.com:storage,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,95
azure.com:storageimportexport,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:storsimple8000series-storsimple,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,72
azure.com:streamanalytics-functions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,31
azure.com:streamanalytics-inputs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,31
azure.com:streamanalytics-outputs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,31
azure.com:streamanalytics-streamingjobs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,31
azure.com:streamanalytics-subscriptions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,31
azure.com:streamanalytics-transformations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,31
azure.com:subscription-subscriptionDefinitions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,193
azure.com:timeseriesinsights,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,7
azure.com:trafficmanager,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,127
azure.com:trafficmanager-trafficmanageranalytics,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,127
azure.com:visualstudio-Csm,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,63
azure.com:web-AppServiceCertificateOrders,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-AppServiceEnvironments,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-AppServicePlans,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-CertificateRegistrationProvider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-Certificates,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-DeletedWebApps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-Diagnostics,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-DomainRegistrationProvider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-Domains,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-Provider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-Recommendations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-ResourceProvider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-TopLevelDomains,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-WebApps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-logicAppsManagementClient,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4,13
azure.com:web-service,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,9,6,117
bbc.co.uk,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,11,4,60
bbc.com,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,13,2,60
bbci.co.uk,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,60
bclaws.ca:bclaws,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,9,6,66
beanstream.com,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7,112
beezup.com,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14,1,141
betfair.com,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6,195
bigoven.com,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,9,6,63
bikewise.org,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,9,6,48
bitbucket.org,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,12,3,48
blazemeter.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4,172
bluemix.net:containers,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7,6
botify.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,11,4,63
box.com:authorization,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6,35
box.com:content,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,13,2,76
box.com:token,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6,81
box.com:upload,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4,81
brandlovers.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4,182
brex.io,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,12,8
browshot.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5,63
bufferapp.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,11,4,63
bungie.net,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,10,5,6
callfire.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4,107
cambase.io,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,7,8,8
carbondoomsday.com,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4,63
ccp.is,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,10,5,157
cenit.io,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,13,2,8
channel4.com,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,14,1,63
circleci.com,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,12,3,63
circuitsandbox.net,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,8,7,6
cisco.com,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,7,8,63
citrixonline.com:gotomeeting,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,12,3,65
citrixonline.com:scim,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,12,3,65
citycontext.com,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,11,4,63
clarify.io,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,8,7,8
clever-cloud.com,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,8,7,58
clever.com,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,11,4,58
